question_id,date,category,question_text,baseline_success,baseline_actually_answered,baseline_has_expected,baseline_confidence,baseline_text,baseline_error,baseline_time,baseline_input_tokens,baseline_output_tokens,togomcp_success,togomcp_has_expected,togomcp_confidence,togomcp_text,togomcp_error,togomcp_time,togomcp_input_tokens,togomcp_output_tokens,togomcp_cache_creation_input_tokens,togomcp_cache_read_input_tokens,tools_used,tool_details,value_add,expected_answer,notes
1,2026-01-09,Precision,What is the UniProt accession ID for SpCas9 from Streptococcus pyogenes M1?,True,True,True,1.0,"The UniProt accession ID for SpCas9 (Cas9) from *Streptococcus pyogenes* serotype M1 is **Q99ZW2**.

This is the most widely used Cas9 variant in genome editing applications and is from the *S. pyogenes* strain SF370 (serotype M1).",,4.017611980438232,65,83,True,True,1.0,"The UniProt accession ID for SpCas9 from Streptococcus pyogenes M1 (serotype M1) is **Q99ZW2**.

This entry corresponds to CRISPR-associated endonuclease Cas9/Csn1 (EC 3.1.-.-), also known as SpCas9 or SpyCas9, from Streptococcus pyogenes serotype M1. This is the widely used Cas9 protein in CRISPR-Cas9 gene editing systems.",,18.789228916168213,9,257,26875,26503,mcp__togomcp__search_uniprot_entity,"[{""name"": ""mcp__togomcp__search_uniprot_entity"", ""input"": {""query"": ""Cas9 Streptococcus pyogenes M1"", ""limit"": 10}}]",VALUABLE,Q99ZW2,Database: UniProt. Tests exact protein ID lookup. Baseline cannot provide specific UniProt accessions. Found via search_uniprot_entity('SpCas9 Streptococcus pyogenes'). Verified in uniprot_exploration.md. This is the most commonly used Cas9 variant in genome editing.
2,2026-01-09,Precision,What is the PubChem Compound ID (CID) for aspirin?,True,True,True,1.0,"The PubChem Compound ID (CID) for aspirin is **2244**.

Aspirin, also known as acetylsalicylic acid, is a common pain reliever and anti-inflammatory medication. Its CID 2244 can be used to look up detailed information about the compound in the PubChem database.",,5.036762952804565,55,78,True,True,1.0,The PubChem Compound ID (CID) for aspirin is **2244**.,,12.194542169570923,9,110,26630,26493,mcp__togomcp__get_pubchem_compound_id,"[{""name"": ""mcp__togomcp__get_pubchem_compound_id"", ""input"": {""compound_name"": ""aspirin""}}]",VALUABLE,2244,Database: PubChem. Tests chemical compound ID lookup. Baseline unlikely to know specific CID numbers. Found via get_pubchem_compound_id('aspirin'). Verified in pubchem_exploration.md with molecular formula C9H8O4.
3,2026-01-09,Completeness,How many descendant terms does GO:0006914 (autophagy) have in the Gene Ontology?,True,False,False,0.0,"I don't have access to the current, exact count of descendant terms for GO:0006914 (autophagy) in the Gene Ontology database. The number of descendant terms changes over time as the ontology is regularly updated with new terms and relationships.

However, I can tell you that autophagy (GO:0006914) is a well-studied biological process term in GO, and it has a substantial number of descendant terms covering various aspects such as:

- Different types of autophagy (macroautophagy, microautophagy, chaperone-mediated autophagy)
- Regulation of autophagy (positive and negative regulation)
- Autophagy in specific contexts (mitophagy, xenophagy, pexophagy, etc.)
- Various steps and components of the autophagic process

To get the precise current count, you would need to query the Gene Ontology database directly using tools like:
- The AmiGO browser
- QuickGO
- The GO API
- OBO files with a suitable parser

The count typically includes both direct children and all indirect descendants through the ""is_a"" and ""part_of"" relationships.",,8.532837867736816,62,271,True,True,1.0,"The result shows there are **25 total descendant terms** for GO:0006914 (autophagy) in the Gene Ontology, returned across 2 pages. The API returned the first 20 items on this page, showing various types of autophagy including:

- Major subtypes: **macroautophagy**, **microautophagy**, and **chaperone-mediated autophagy**
- Organelle-specific autophagy: **mitophagy** (mitochondria), **pexophagy** (peroxisomes), **reticulophagy** (ER), **nucleophagy** (nucleus)
- Selective autophagy processes: **lipophagy** (lipid droplets), **glycophagy** (glycogen), **aggrephagy** (protein aggregates), **xenophagy** (pathogens), **lysophagy** (damaged lysosomes), and **proteaphagy** (proteasomes)
- Other specialized forms like **crinophagy** (secretory granules)

**Answer: GO:0006914 (autophagy) has 25 descendant terms in the Gene Ontology.**",,17.853090047836304,8,408,13633,52655,mcp__ols__getDescendants,"[{""name"": ""mcp__ols__getDescendants"", ""input"": {""ontologyId"": ""go"", ""classIri"": ""http://purl.obolibrary.org/obo/GO_0006914""}}]",CRITICAL,25,Database: GO. Tests hierarchical navigation using getDescendants. Baseline cannot enumerate exact descendant counts. Requires database query to get complete list. Verified via OLS4:getDescendants(GO:0006914) in go_exploration.md.
4,2026-01-09,Completeness,How many single nucleotide variants are recorded in ClinVar?,True,False,False,0.0,"I don't have access to real-time ClinVar statistics, and the number of single nucleotide variants (SNVs) in ClinVar changes regularly as new submissions are added and existing records are updated.

However, I can tell you that:

1. **ClinVar is continuously growing** - As of my last training data, ClinVar contained several million variant records total, with SNVs representing the majority of variants in the database.

2. **Historical context** - In recent years, ClinVar has typically contained somewhere in the range of 1-2 million+ SNVs, but this number increases substantially each year.

3. **To get current numbers**, you would need to:
   - Visit the ClinVar website directly (https://www.ncbi.nlm.nih.gov/clinvar/)
   - Check their statistics page
   - Or download their latest release notes

The exact current count would require querying the live ClinVar database, which I cannot do. If you need precise, up-to-date figures, I recommend checking the official NCBI ClinVar statistics page.",,7.320634841918945,51,247,True,True,1.0,"According to the ClinVar database, there are **3,236,823 single nucleotide variants (SNVs)** recorded in ClinVar.

This represents a substantial portion of the genetic variants cataloged in ClinVar, which is NCBI's public archive of reports on the relationships among human variations and phenotypes with supporting evidence.",,18.737313985824585,9,330,613,52644,mcp__togomcp__run_sparql,"[{""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""clinvar"", ""sparql_query"": ""\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX clinvar: <http://purl.jp/bio/10/clinvar/>\n\nSELECT (COUNT(DISTINCT ?variant) AS ?snv_count)\nWHERE {\n  ?variant a clinvar:VariationArchiveType ;\n           clinvar:variation_type \""single nucleotide variant\"" .\n}\n""}}]",CRITICAL,"3,236,823",Database: ClinVar. Tests ability to count comprehensive variant data. Baseline has no access to current ClinVar statistics. Verified via SPARQL aggregation in clinvar_exploration.md counting by variation_type.
5,2026-01-09,Integration,What is the NCBI Gene ID for the protein with UniProt accession P04637?,True,True,True,1.0,"The protein with UniProt accession P04637 is TP53 (tumor protein p53), and its NCBI Gene ID is **7157**.

P04637 corresponds to the human p53 protein, which is one of the most well-studied tumor suppressor proteins involved in cell cycle regulation, DNA repair, and apoptosis.",,3.7606661319732666,58,79,True,True,1.0,"The NCBI Gene ID for the protein with UniProt accession **P04637** is **7157**.

This corresponds to the **TP53** gene, which encodes the tumor protein p53, a crucial tumor suppressor protein involved in cell cycle regulation and apoptosis.",,14.297569036483765,8,200,493,52651,mcp__togomcp__togoid_convertId,"[{""name"": ""mcp__togomcp__togoid_convertId"", ""input"": {""ids"": ""P04637"", ""route"": ""uniprot,ncbigene""}}]",VALUABLE,7157,"Database: UniProt, NCBI Gene. Tests ID conversion between databases. P04637 is TP53 (tumor protein p53). Baseline has limited cross-reference knowledge. Requires TogoID or direct cross-reference lookup. Verified in uniprot_exploration.md."
6,2026-01-09,Integration,What is the ChEBI ID for ATP as referenced in biochemical reactions?,True,True,False,0.0,"The ChEBI ID for ATP (adenosine triphosphate) is **CHEBI:15422**.

This is the primary identifier used in the ChEBI (Chemical Entities of Biological Interest) database for ATP in its fully deprotonated form, which is the most common representation used in biochemical reactions and metabolic pathways.",,3.8503081798553467,53,78,True,False,0.0,"The **ChEBI ID for ATP** (adenosine triphosphate) is **CHEBI:15422**.

This is the standard identifier used in biochemical databases and reactions. According to ChEBI (Chemical Entities of Biological Interest), ATP is defined as ""an adenosine 5'-phosphate in which the 5'-phosphate is a triphosphate group. It is involved in the transportation of chemical energy during metabolic pathways.""

You can access this entry at: http://purl.obolibrary.org/obo/CHEBI_15422",,27.742529153823853,15,469,28431,54686,"mcp__togomcp__search_chembl_molecule, mcp__pubdictionaries__find_ids, mcp__ols__search, mcp__ols__fetch","[{""name"": ""mcp__togomcp__search_chembl_molecule"", ""input"": {""query"": ""ATP adenosine triphosphate"", ""limit"": 5}}, {""name"": ""mcp__pubdictionaries__find_ids"", ""input"": {""labels"": ""ATP, adenosine triphosphate"", ""dictionary"": ""ChEBI""}}, {""name"": ""mcp__ols__search"", ""input"": {""query"": ""ATP adenosine triphosphate""}}, {""name"": ""mcp__ols__fetch"", ""input"": {""id"": ""chebi+http://purl.obolibrary.org/obo/CHEBI_15422""}}]",VALUABLE,CHEBI:30616,"Database: ChEBI, Rhea. Tests chemical entity identification across databases. ATP is a ubiquitous energy currency molecule. Baseline may know ATP but not specific ChEBI identifier. Verified in rhea_exploration.md and chebi_exploration.md."
7,2026-01-09,Currency,When was the BRCA1 variant c.5266dup last updated in ClinVar?,True,False,False,0.0,"I don't have access to real-time ClinVar data or the ability to query databases, so I cannot tell you the specific date when the BRCA1 variant c.5266dup was last updated in ClinVar.

To find this information, you would need to:
1. Visit the ClinVar website (ncbi.nlm.nih.gov/clinvar)
2. Search for ""BRCA1 c.5266dup""
3. Look at the variant record for the ""Last updated"" or ""Last evaluated"" date

ClinVar records are regularly updated as new submissions and evidence are added, so the last update date can change over time.",,5.205355167388916,59,152,True,False,0.0,"Perfect! I found the BRCA1 variant c.5266dup. It's the second result (UID 17677). 

Based on the ClinVar data for **BRCA1 c.5266dup (p.Gln1756fs)**:

**The variant record was last updated on April 22, 2016** (last_evaluated: ""2016/04/22 00:00"")

Additional information about this variant:
- **ClinVar Accession**: VCV000017677.159 (currently on version 159)
- **Classification**: Pathogenic
- **Review Status**: Reviewed by expert panel
- **Also known as**: 5382insC (the older nomenclature)
- **Clinical Significance**: Associated with Breast-ovarian cancer, familial, susceptibility to, 1
- **Type**: Duplication (frameshift variant)

This is a well-known founder mutation, particularly common in individuals of Ashkenazi Jewish ancestry. The ""last_evaluated"" date of April 22, 2016 refers to when the clinical significance was last formally evaluated by an expert panel. The record itself has been updated 159 times (as indicated by the version number), but the germline classification has been stable since 2016.",,70.71998119354248,31,1620,31264,342750,"mcp__togomcp__ncbi_esearch, mcp__togomcp__ncbi_esummary, mcp__togomcp__ncbi_esummary, mcp__togomcp__run_sparql, mcp__togomcp__ncbi_esearch, WebSearch, mcp__togomcp__ncbi_esearch, mcp__togomcp__ncbi_esummary","[{""name"": ""mcp__togomcp__ncbi_esearch"", ""input"": {""database"": ""clinvar"", ""query"": ""BRCA1 c.5266dup"", ""max_results"": 10}}, {""name"": ""mcp__togomcp__ncbi_esummary"", ""input"": {""database"": ""clinvar"", ""ids"": [""2583814"", ""2030079"", ""548237"", ""266551"", ""234487""]}}, {""name"": ""mcp__togomcp__ncbi_esummary"", ""input"": {""database"": ""clinvar"", ""ids"": [""187537"", ""128153"", ""125880"", ""55618"", ""55568""]}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""clinvar"", ""sparql_query"": ""PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX clinvar: <http://purl.jp/bio/10/clinvar/>\nPREFIX dcterms: <http://purl.org/dc/terms/>\n\nSELECT DISTINCT ?variant ?label ?gene ?modified\nWHERE {\n  ?variant a clinvar:VariationArchiveType ;\n           rdfs:label ?label ;\n           dcterms:modified ?modified .\n  ?variant clinvar:gene_symbol ?gene .\n  FILTER(CONTAINS(LCASE(?label), \""c.5266dup\""))\n  FILTER(?gene = \""BRCA1\"")\n}\nORDER BY DESC(?modified)\nLIMIT 10""}}, {""name"": ""mcp__togomcp__ncbi_esearch"", ""input"": {""database"": ""clinvar"", ""query"": ""BRCA1[gene] AND 5266[variant name]"", ""max_results"": 20}}, {""name"": ""WebSearch"", ""input"": {""query"": ""BRCA1 c.5266dup ClinVar variant""}}, {""name"": ""mcp__togomcp__ncbi_esearch"", ""input"": {""database"": ""clinvar"", ""query"": ""BRCA1 5382insC"", ""max_results"": 10}}, {""name"": ""mcp__togomcp__ncbi_esummary"", ""input"": {""database"": ""clinvar"", ""ids"": [""37560"", ""17677"", ""17662"", ""13128"", ""9325""]}}]",CRITICAL,2025-05-25,Database: ClinVar. Tests access to current database metadata. Update dates are beyond training cutoff (Jan 2025) and require live database access. This is a well-known pathogenic variant. Verified in clinvar_exploration.md via date_last_updated field.
8,2026-01-09,Currency,How many CRISPR Cas9 structures are currently in the PDB?,True,False,False,0.0,"I don't have access to real-time data about the current contents of the Protein Data Bank (PDB), as my training data has a cutoff date and I cannot query external databases.

However, I can tell you that as of my last training data (April 2024), there were hundreds of CRISPR-Cas9 related structures in the PDB, including:

- Structures of Cas9 from various species (particularly *Streptococcus pyogenes* and *Staphylococcus aureus*)
- Cas9 in different states (apo, DNA-bound, RNA-bound, and ternary complexes)
- Various Cas9 variants and engineered versions
- Cas9 bound to inhibitors or with different guide RNAs

The number has been growing steadily since the first Cas9 structures were deposited around 2014-2015.

To get the current exact number, you would need to search the PDB directly at rcsb.org using search terms like ""CRISPR Cas9"" or ""Cas9"". The number is likely in the range of several hundred structures, but I cannot provide the precise current count without accessing the database.",,7.643028974533081,55,273,True,False,0.0,"Based on the search results from the Protein Data Bank (PDB), there are currently **473 CRISPR Cas9 structures** deposited in the PDB.

These structures include a diverse range of Cas9 variants and complexes, such as:

- **SpCas9** (Streptococcus pyogenes Cas9) - the most commonly used variant
- **SpRY-Cas9** - an engineered variant with relaxed PAM specificity
- **SaCas9** (Staphylococcus aureus Cas9)
- **FnCas9** (Francisella novicida Cas9)
- **NmeCas9** (Neisseria meningitidis Cas9)
- **St1Cas9** (Streptococcus thermophilus Cas9)

The structures capture various functional states including:
- Cas9 alone (apo form)
- Cas9 with guide RNA (sgRNA)
- Cas9-sgRNA-DNA ternary complexes
- Different stages of DNA cleavage
- Complexes with anti-CRISPR proteins (Acr proteins)
- Various PAM sequences and R-loop conformations

This large collection of structures has been instrumental in understanding the molecular mechanisms of CRISPR-Cas9 genome editing.",,20.2995502948761,9,445,3612,52648,mcp__togomcp__search_pdb_entity,"[{""name"": ""mcp__togomcp__search_pdb_entity"", ""input"": {""db"": ""pdb"", ""query"": ""CRISPR Cas9"", ""limit"": 100}}]",CRITICAL,461,Database: PDB. Tests access to current structural biology data. CRISPR Cas9 is an active research area with continuous structure depositions. Baseline frozen at Jan 2025 won't have latest count. Verified via search_pdb_entity in pdb_exploration.md.
9,2026-01-09,Specificity,What is the NANDO identifier for Parkinson's disease in the Japanese rare disease database?,True,False,False,0.0,"I don't have specific information about the NANDO (Nanbyou Data) identifier for Parkinson's disease in the Japanese rare disease database in my training knowledge.

NANDO is the identifier system used by the Japan Agency for Medical Research and Development (AMED) for their rare and intractable disease database. However, it's worth noting that Parkinson's disease is typically classified as a common neurological disorder rather than a rare disease, so it may not be included in rare disease databases, or its inclusion status might vary depending on how the database categorizes conditions.

To find this specific identifier, you would need to consult the actual NANDO database or the Japanese rare disease registry directly.",,6.296422004699707,57,152,True,True,1.0,"Perfect! I found the information you're looking for.

The **NANDO identifier for Parkinson's disease** in the Japanese rare disease database is:

## **NANDO:1200010**

Additional details:
- **English label**: Parkinson's disease
- **Japanese label**: パーキンソン病 (Pākinsonbyō)
- **Notification number**: 6 (This indicates it's designated intractable disease #6 by the Japanese government, making it eligible for government support)
- **MONDO mapping**: MONDO_0005180 (cross-reference to the international MONDO Disease Ontology)

The query also found two related conditions:
- **NANDO:1200524** - Rapid-onset dystonia-parkinsonism
- **NANDO:1200036** - Multiple system atrophy, Parkinsonian type (MSA-P)",,42.29049491882324,26,1291,12404,144952,"mcp__togomcp__run_sparql, mcp__togomcp__run_sparql, mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""nando"", ""sparql_query"": ""\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX nando: <http://nanbyodata.jp/ontology/nando#>\nPREFIX skos: <http://www.w3.org/2004/02/skos/core#>\n\nSELECT DISTINCT ?disease ?label ?altLabel\nWHERE {\n  ?disease a nando:NANDO_0000001 .\n  ?disease rdfs:label ?label .\n  OPTIONAL { ?disease skos:altLabel ?altLabel }\n  FILTER (CONTAINS(LCASE(STR(?label)), \""parkinson\"") || CONTAINS(LCASE(STR(?altLabel)), \""parkinson\""))\n}\nLIMIT 20\n""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""nando"", ""sparql_query"": ""\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX skos: <http://www.w3.org/2004/02/skos/core#>\n\nSELECT DISTINCT ?disease ?label ?altLabel\nWHERE {\n  ?disease rdfs:label ?label .\n  OPTIONAL { ?disease skos:altLabel ?altLabel }\n  FILTER (CONTAINS(LCASE(STR(?label)), \""parkinson\"") || CONTAINS(LCASE(STR(?altLabel)), \""parkinson\""))\n}\nLIMIT 20\n""}}, {""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""nando""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""nando"", ""sparql_query"": ""\nPREFIX owl: <http://www.w3.org/2002/07/owl#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX dct: <http://purl.org/dc/terms/>\nPREFIX skos: <http://www.w3.org/2004/02/skos/core#>\nPREFIX nando: <http://nanbyodata.jp/ontology/NANDO_>\n\nSELECT ?disease ?identifier ?en_label ?ja_label ?notification_num ?mondo\nFROM <http://nanbyodata.jp/ontology/nando>\nWHERE {\n  ?disease a owl:Class ;\n           dct:identifier ?identifier ;\n           rdfs:label ?en_label ;\n           rdfs:label ?ja_label .\n  OPTIONAL { ?disease nando:hasNotificationNumber ?notification_num }\n  OPTIONAL { ?disease skos:closeMatch ?mondo }\n  ?en_label bif:contains \""'Parkinson*'\"" option (score ?sc) .\n  FILTER(LANG(?en_label) = \""en\"")\n  FILTER(LANG(?ja_label) = \""ja\"" && !REGEX(STR(?ja_label), \""^[\u3041-\u3093]+$\""))\n}\nORDER BY DESC(?sc)\nLIMIT 10\n""}}]",CRITICAL,NANDO:1200010,Database: NANDO. Tests retrieval of niche database identifiers. NANDO is a specialized Japanese intractable disease ontology. Baseline unlikely to know specific NANDO IDs. Verified via keyword search in nando_exploration.md.
10,2026-01-09,Specificity,What is the highest resolution ever achieved for a structure in the PDB?,True,True,True,1.0,"Based on my training knowledge, the highest resolution structures in the Protein Data Bank (PDB) have achieved resolutions better than 0.5 Angstroms (Å).

The record has been held by several small protein structures determined by ultra-high resolution X-ray crystallography. One notable example is **crambin**, a small plant protein, which has had structures solved at resolutions approaching **0.48 Å** or even slightly better in some refinements.

At these ultra-high resolutions, individual hydrogen atoms can often be directly observed in the electron density maps, and very fine structural details including alternate conformations, subtle bond length variations, and detailed solvent structure become visible.

It's worth noting that:
- Such high resolutions are typically only achievable for very small, well-ordered proteins that form excellent crystals
- The vast majority of PDB structures are in the 1.5-3.0 Å range
- Resolutions below 0.6 Å are extremely rare

The exact record may have changed over time as new structures are deposited, but resolutions in the 0.48-0.54 Å range represent the best ever achieved for macromolecular crystallography in the PDB.",,9.040306091308594,52,272,True,True,1.0,"Perfect! I found the answer. Let me get a bit more information about these top structures:

The **highest resolution ever achieved for a structure in the PDB is 0.48 Ångströms (Å)**, which is shared by two structures:

1. **PDB ID: 5D8V** - Ultra-high resolution structure of high-potential iron-sulfur protein
2. **PDB ID: 3NIR** - Crystal structure of small protein crambin at 0.48 Å resolution

Both were determined using X-ray crystallography. This represents an extraordinary level of detail - at 0.48 Å resolution, individual atoms and even electron density distributions can be visualized with exceptional clarity. For context, typical high-resolution protein crystal structures are around 1.5-2.0 Å, so 0.48 Å is exceptionally rare and represents the pinnacle of crystallographic resolution.

Other notably high-resolution structures include:
- **1EJG** at 0.54 Å (crambin)
- **3P4J** at 0.55 Å (Z-DNA)
- **5NW3** at 0.59 Å (deuterated rubredoxin at 100K)

These ultra-high resolution structures are typically achieved with very small, highly ordered proteins or nucleic acids that form excellent crystals.",,28.659972190856934,15,807,12089,89961,"mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""pdb""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""pdb"", ""sparql_query"": ""PREFIX pdbx: <http://rdf.wwpdb.org/schema/pdbx-v50.owl#>\nPREFIX xsd: <http://www.w3.org/2001/XMLSchema#>\n\nSELECT ?entry_id ?resolution ?title ?method\nFROM <http://rdfportal.org/dataset/pdbj>\nWHERE {\n  ?entry a pdbx:datablock .\n  BIND(STRAFTER(str(?entry), \""http://rdf.wwpdb.org/pdb/\"") AS ?entry_id)\n  ?entry pdbx:has_refineCategory/pdbx:has_refine ?refine ;\n         pdbx:has_structCategory/pdbx:has_struct ?struct ;\n         pdbx:has_exptlCategory/pdbx:has_exptl ?exptl .\n  ?refine pdbx:refine.ls_d_res_high ?resolution .\n  ?struct pdbx:struct.title ?title .\n  ?exptl pdbx:exptl.method ?method .\n  FILTER(xsd:decimal(?resolution) > 0 && xsd:decimal(?resolution) < 1.0)\n}\nORDER BY xsd:decimal(?resolution)\nLIMIT 10""}}]",VALUABLE,0.48 Å,Database: PDB. Tests knowledge of specialized structural biology metrics. Two structures (5D8V and 3NIR) achieved this atomic resolution. Baseline unlikely to know this specific record. Verified via SPARQL query filtering resolution < 0.8 Å in pdb_exploration.md.
